X(mm) Y(mm) Z(mm)
132.430496 -84.436676 1942.313599
231.649002 -49.723366 1905.043457
164.921570 -120.753502 1929.316650
133.712006 -84.439766 1935.481934
134.989853 -86.267029 1937.099609
232.175110 -49.573090 1904.697144
132.520157 -84.902794 1941.746338
224.527283 7.452644 1901.750366
231.796951 -48.894470 1900.748047
233.203659 -47.682743 1909.070801
166.663712 -119.985870 1927.390625
137.412613 -81.820709 1939.457764
219.495209 4.335533 1897.358276
232.301285 -49.146164 1908.253906
232.784317 -47.249313 1903.467896
137.408676 -81.138466 1942.177368
232.137253 -49.658718 1909.065552
249.946335 -42.661007 1903.129517
166.567139 -120.299065 1934.166748
219.272491 5.369618 1902.990356
219.593185 6.742064 1905.812256
238.485550 10.025312 1906.843750
250.328400 -42.892521 1908.860840
223.960220 6.630363 1903.201538
161.215988 -123.126915 1929.036255
72.101990 95.925392 1888.385986
219.284317 5.480628 1903.279419
62.817410 93.685509 1886.038818
161.603943 -124.337639 1932.157349
77.542099 96.025124 1891.453979
219.034042 6.245565 1904.440186
231.615143 -49.419571 1901.909546
160.474197 134.946350 1869.856812
161.695755 -124.197571 1935.674927
236.535416 -48.403034 1902.124634
161.261444 -124.070900 1936.729248
238.898956 8.091252 1902.661621
73.236855 96.871613 1899.067261
250.515579 -43.255787 1905.325684
78.325516 96.683525 1892.361816
249.854568 -42.484325 1901.698364
161.494980 -120.663208 1925.462646
161.715652 -123.141998 1933.212891
96.348564 -39.040405 1930.877075
250.231476 -42.890560 1908.860596
77.029030 92.786987 1895.323730
78.685204 96.896698 1891.385376
67.294945 44.730904 1963.784912
237.881500 10.730205 1905.531006
66.555077 45.681190 1968.714600
