X(mm) Z(mm) Y(mm)
132.430496 1942.313599 -84.436676
231.649002 1905.043457 -49.723366
164.921570 1929.316650 -120.753502
133.712006 1935.481934 -84.439766
134.989853 1937.099609 -86.267029
232.175110 1904.697144 -49.573090
132.520157 1941.746338 -84.902794
224.527283 1901.750366 7.452644
231.796951 1900.748047 -48.894470
233.203659 1909.070801 -47.682743
166.663712 1927.390625 -119.985870
137.412613 1939.457764 -81.820709
219.495209 1897.358276 4.335533
232.301285 1908.253906 -49.146164
232.784317 1903.467896 -47.249313
137.408676 1942.177368 -81.138466
232.137253 1909.065552 -49.658718
249.946335 1903.129517 -42.661007
166.567139 1934.166748 -120.299065
219.272491 1902.990356 5.369618
219.593185 1905.812256 6.742064
238.485550 1906.843750 10.025312
250.328400 1908.860840 -42.892521
223.960220 1903.201538 6.630363
161.215988 1929.036255 -123.126915
72.101990 1888.385986 95.925392
219.284317 1903.279419 5.480628
62.817410 1886.038818 93.685509
161.603943 1932.157349 -124.337639
77.542099 1891.453979 96.025124
219.034042 1904.440186 6.245565
231.615143 1901.909546 -49.419571
160.474197 1869.856812 134.946350
161.695755 1935.674927 -124.197571
236.535416 1902.124634 -48.403034
161.261444 1936.729248 -124.070900
238.898956 1902.661621 8.091252
73.236855 1899.067261 96.871613
250.515579 1905.325684 -43.255787
78.325516 1892.361816 96.683525
249.854568 1901.698364 -42.484325
161.494980 1925.462646 -120.663208
161.715652 1933.212891 -123.141998
96.348564 1930.877075 -39.040405
250.231476 1908.860596 -42.890560
77.029030 1895.323730 92.786987
78.685204 1891.385376 96.896698
67.294945 1963.784912 44.730904
237.881500 1905.531006 10.730205
66.555077 1968.714600 45.681190
